Strategy,Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Annual Return (%),Final Portfolio Value
NN Strategy (On-the-Fly Predictions),0.11336604180253482,0.1397573015671293,51.064347878350624,99.43497401935466,7773492.333166478
Buy-and-Hold Strategy,0.045915131584150976,0.0640091307557599,73.2779762247486,42.09235854467273,133414.0745362745
